road,num_properties,properties_roof_insulation,properties_walls_insulation,properties_windows_insulation,properties_floor_insulation,perc_properties_roof_insulation,perc_properties_walls_insulation,perc_properties_windows_insulation,perc_properties_floor_insulation,avg_CO2_emissions,avg_energy_consumption,avg_energy_efficiency,properties_A_rating,properties_B_rating,properties_C_rating,properties_D_rating,properties_E_rating,properties_F_rating,properties_G_rating,perc_properties_A_rating,perc_properties_B_rating,perc_properties_C_rating,perc_properties_D_rating,perc_properties_E_rating,perc_properties_F_rating,perc_properties_G_rating
 Victoria Way (RG1),4,1,4,3,0,25,100,75,0,35,195,70,0,0,3,1,0,0,0,0,0,75,25,0,0,0
 Victory Close (RG30),9,7,0,9,6,78,0,100,67,24,263,74,0,0,8,1,0,0,0,0,0,89,11,0,0,0
 Village Close (RG2),10,3,4,9,0,30,40,90,0,35,198,71,0,1,6,3,0,0,0,0,10,60,30,0,0,0
 Vine Crescent (RG30),22,1,15,21,0,5,68,95,0,48,270,60,0,0,3,13,5,1,0,0,0,14,59,23,5,0
 Virginia Way (RG30),40,8,27,40,1,20,68,100,2,41,222,65,0,1,16,19,3,1,0,0,2,40,48,8,2,0
 Waldeck Street (RG1),106,5,2,88,0,5,2,83,0,57,320,58,0,0,8,71,21,4,2,0,0,8,67,20,4,2
 Walkers Place (RG30),12,12,0,12,1,100,0,100,8,62,367,64,0,1,5,3,3,0,0,0,8,42,25,25,0,0
 Waller Court (RG4),20,14,0,20,5,70,0,100,25,49,294,70,0,0,15,5,0,0,0,0,0,75,25,0,0,0
 Walmer Close (RG30),14,1,10,13,0,7,71,93,0,46,257,64,0,0,3,11,0,0,0,0,0,21,79,0,0,0
 Walnut Way (RG30),10,2,7,10,0,20,70,100,0,44,234,62,0,0,1,8,1,0,0,0,0,10,80,10,0,0
 Wantage Road (RG30),109,24,13,87,6,22,12,80,6,53,309,55,0,1,15,47,34,8,4,0,1,14,43,31,7,4
 Wardle Avenue (RG31),26,11,16,26,10,42,62,100,38,36,202,66,0,8,3,8,6,1,0,0,31,12,31,23,4,0
 Warnford Road (RG30),28,3,19,28,0,11,68,100,0,41,224,66,0,0,9,17,2,0,0,0,0,32,61,7,0,0
 Warwick Road (RG2),21,7,2,11,1,33,10,52,5,52,292,55,0,0,5,7,6,3,0,0,0,24,33,29,14,0
 Washington Road (RG4),23,1,0,17,0,4,0,74,0,59,349,52,0,0,1,11,9,0,2,0,0,4,48,39,0,9
 Water Road (RG30),40,4,7,32,1,10,18,80,2,57,324,54,0,1,1,21,14,2,1,0,2,2,52,35,5,2
 Waterloo Rise (RG2),44,18,10,39,7,41,23,89,16,42,240,70,0,0,31,13,0,0,0,0,0,70,30,0,0,0
 Waterloo Road (RG2),18,1,3,16,0,6,17,89,0,50,276,60,0,0,4,8,6,0,0,0,0,22,44,33,0,0
 Waterside Gardens (RG1),19,12,0,7,1,63,0,37,5,62,375,64,0,0,4,15,0,0,0,0,0,21,79,0,0,0
 Watlington Street (RG1),44,2,2,36,3,5,5,82,7,51,289,58,0,0,7,21,14,1,1,0,0,16,48,32,2,2
 Waverley Road (RG30),109,5,10,82,2,5,9,75,2,55,306,54,0,0,0,57,48,4,0,0,0,0,52,44,4,0
 Waybrook Crescent (RG1),12,0,4,10,0,0,33,83,0,50,287,60,0,0,3,6,2,1,0,0,0,25,50,17,8,0
 Waylen Street (RG1),44,24,0,34,0,55,0,77,0,51,294,60,0,1,15,17,7,4,0,0,2,34,39,16,9,0
 Weald Rise (RG30),18,3,3,16,0,17,17,89,0,55,311,54,0,0,1,7,9,1,0,0,0,6,39,50,6,0
 Wealden Way (RG30),67,3,24,65,0,4,36,97,0,46,260,64,0,0,21,42,4,0,0,0,0,31,63,6,0,0
 Weardale Close (RG2),7,0,2,7,3,0,29,100,43,35,195,67,0,0,3,4,0,0,0,0,0,43,57,0,0,0
 Webbs Close (RG1),6,0,0,3,0,0,0,50,0,69,394,59,0,0,0,4,2,0,0,0,0,0,67,33,0,0
 Webster Close (RG2),2,0,0,2,2,0,0,100,100,20,117,78,0,0,2,0,0,0,0,0,0,100,0,0,0,0
 Wedgewood Way (RG30),19,0,3,18,0,0,16,95,0,49,274,62,0,0,6,9,4,0,0,0,0,32,47,21,0,0
 Weirside Court (RG1),10,10,1,10,0,100,10,100,0,39,190,77,0,2,8,0,0,0,0,0,20,80,0,0,0,0
