road,num_properties,properties_roof_insulation,properties_walls_insulation,properties_windows_insulation,properties_floor_insulation,perc_properties_roof_insulation,perc_properties_walls_insulation,perc_properties_windows_insulation,perc_properties_floor_insulation,avg_CO2_emissions,avg_energy_consumption,avg_energy_efficiency,properties_A_rating,properties_B_rating,properties_C_rating,properties_D_rating,properties_E_rating,properties_F_rating,properties_G_rating,perc_properties_A_rating,perc_properties_B_rating,perc_properties_C_rating,perc_properties_D_rating,perc_properties_E_rating,perc_properties_F_rating,perc_properties_G_rating
Thames Quarter (RG1),36,36,36,36,36,100,100,100,100,10,58,84,0,36,0,0,0,0,0,0,100,0,0,0,0,0
"The Annex (RG1, RG2, RG30, RG31, RG4)",5,0,2,5,2,0,40,100,40,79,458,61,0,0,2,2,1,0,0,0,0,40,40,20,0,0
"The Annexe (RG1, RG2, RG30, RG31, RG4, RG6)",37,5,5,33,14,14,14,89,38,65,381,59,0,0,14,9,10,3,1,0,0,38,24,27,8,3
The Annexe Warren Cottage (RG4),2,0,0,2,1,0,0,100,50,55,319,68,0,0,1,1,0,0,0,0,0,50,50,0,0,0
The Basement (RG2),1,0,0,1,0,0,0,100,0,60,311,57,0,0,0,1,0,0,0,0,0,0,100,0,0,0
The Builders (RG4),3,0,0,2,0,0,0,67,0,79,435,36,0,0,0,0,1,2,0,0,0,0,0,33,67,0
"The Bungalow (RG30, RG4)",3,0,3,3,0,0,100,100,0,51,246,55,0,0,1,0,2,0,0,0,0,33,0,67,0,0
The Causeway (RG4),9,7,0,9,3,78,0,100,33,31,181,75,0,0,9,0,0,0,0,0,0,100,0,0,0,0
The Church House (RG6),1,0,0,1,1,0,0,100,100,32,166,72,0,0,1,0,0,0,0,0,0,100,0,0,0,0
"The Coach House (RG1, RG4)",4,1,0,3,2,25,0,75,50,50,278,62,0,0,1,2,1,0,0,0,0,25,50,25,0,0
The Copse (RG30),1,0,1,1,0,0,100,100,0,67,414,40,0,0,0,0,1,0,0,0,0,0,0,100,0,0
The Corner House (RG4),1,0,0,1,0,0,0,100,0,54,306,53,0,0,0,0,1,0,0,0,0,0,0,100,0,0
"The Cottage (RG1, RG6)",4,0,0,3,2,0,0,75,50,47,266,64,0,1,1,1,1,0,0,0,25,25,25,25,0,0
The Cottage Blagrave Barn (RG4),1,0,0,1,0,0,0,100,0,68,406,57,0,0,0,1,0,0,0,0,0,0,100,0,0,0
The Cottage White Gables (RG2),1,0,0,1,0,0,0,100,0,87,450,55,0,0,0,1,0,0,0,0,0,0,100,0,0,0
The Dairy (RG4),1,0,0,1,1,0,0,100,100,21,126,75,0,0,1,0,0,0,0,0,0,100,0,0,0,0
The Dell (RG1),10,10,0,9,0,100,0,90,0,34,191,74,0,0,10,0,0,0,0,0,0,100,0,0,0,0
The Dove (RG1),3,3,2,3,1,100,67,100,33,26,154,80,0,2,1,0,0,0,0,0,67,33,0,0,0,0
The Faculty (RG1),5,5,1,5,0,100,20,100,0,47,274,74,0,0,5,0,0,0,0,0,0,100,0,0,0,0
The Firs (RG30),1,0,1,1,0,0,100,100,0,46,277,61,0,0,0,1,0,0,0,0,0,0,100,0,0,0
The Fishery (RG4),1,0,0,0,0,0,0,0,0,68,373,28,0,0,0,0,0,1,0,0,0,0,0,0,100,0
The Garden House (RG2),1,0,1,1,1,0,100,100,100,20,129,77,0,0,1,0,0,0,0,0,0,100,0,0,0,0
The Hill House (RG4),1,0,0,0,0,0,0,0,0,65,398,28,0,0,0,0,0,1,0,0,0,0,0,0,100,0
The Inner Place (RG31),1,1,0,1,0,100,0,100,0,43,227,69,0,0,1,0,0,0,0,0,0,100,0,0,0,0
The Lodge (RG4),1,0,0,0,0,0,0,0,0,74,382,40,0,0,0,0,1,0,0,0,0,0,0,100,0,0
The Maisonette (RG1),1,0,0,0,0,0,0,0,0,88,526,46,0,0,0,0,1,0,0,0,0,0,0,100,0,0
The Maisonette Hamilton Court (RG1),1,0,0,1,0,0,0,100,0,97,588,45,0,0,0,0,1,0,0,0,0,0,0,100,0,0
The Malthouse (RG1),1,0,0,1,0,0,0,100,0,97,550,60,0,0,0,1,0,0,0,0,0,0,100,0,0,0
The Meadway (RG30),10,10,9,10,0,100,90,100,0,42,238,69,0,0,5,5,0,0,0,0,0,50,50,0,0,0
The Mews Cottages (RG1),1,1,0,0,0,100,0,0,0,68,359,45,0,0,0,0,1,0,0,0,0,0,0,100,0,0
The Mount (RG4),8,8,0,8,8,100,0,100,100,24,144,78,0,1,7,0,0,0,0,0,12,88,0,0,0,0
The New House (RG30),2,0,0,2,0,0,0,100,0,43,250,65,0,0,0,2,0,0,0,0,0,0,100,0,0,0
The Old Pump House (RG4),1,1,0,1,0,100,0,100,0,42,252,65,0,0,0,1,0,0,0,0,0,0,100,0,0,0
The Pep Partnership Llp (RG2),2,0,0,2,0,0,0,100,0,42,218,58,0,0,0,2,0,0,0,0,0,0,100,0,0,0
The Retreat (RG4),3,0,0,2,0,0,0,67,0,65,283,41,0,0,0,0,2,1,0,0,0,0,0,67,33,0
The Salvation Army (RG1),1,0,0,1,0,0,0,100,0,38,197,58,0,0,0,1,0,0,0,0,0,0,100,0,0,0
The Spinney (RG4),1,0,0,1,0,0,0,100,0,24,140,72,0,0,1,0,0,0,0,0,0,100,0,0,0,0
The Stable (RG1),1,0,0,1,0,0,0,100,0,71,341,19,0,0,0,0,0,0,1,0,0,0,0,0,0,100
"The Studio (RG1, RG2, RG30, RG4)",14,7,1,12,5,50,7,86,36,81,471,56,0,0,1,8,4,1,0,0,0,7,57,29,7,0
The Warren (RG4),6,4,0,3,0,67,0,50,0,47,266,61,0,0,1,4,1,0,0,0,0,17,67,17,0,0
The Willows (RG4),2,0,1,2,0,0,50,100,0,37,214,66,0,0,0,2,0,0,0,0,0,0,100,0,0,0
Third on Right (RG4),1,0,1,1,0,0,100,100,0,52,312,59,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Tideway (RG4),1,0,1,1,0,0,100,100,0,29,153,70,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Tiverton House (RG2),2,2,0,2,2,100,0,100,100,22,134,82,0,2,0,0,0,0,0,0,100,0,0,0,0,0
Townside Court (RG1),5,5,5,5,5,100,100,100,100,21,121,82,0,5,0,0,0,0,0,0,100,0,0,0,0,0
Transport & General Workers Union (RG1),1,0,0,1,0,0,0,100,0,38,216,62,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Tree Tops (RG4),1,0,1,1,0,0,100,100,0,45,271,57,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Trelorna (RG30),2,0,0,2,0,0,0,100,0,51,300,54,0,0,0,1,1,0,0,0,0,0,50,50,0,0
Tresillian (RG4),1,1,0,1,1,100,0,100,100,15,86,79,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Tudor Road (RG1),10,10,7,10,5,100,70,100,50,12,63,86,0,10,0,0,0,0,0,0,100,0,0,0,0,0
Upcross Gardens (RG1),12,12,1,12,8,100,8,100,67,25,140,77,0,2,10,0,0,0,0,0,17,83,0,0,0,0
Upper Redlands Road (RG1),4,2,0,0,0,50,0,0,0,62,360,50,0,0,0,1,3,0,0,0,0,0,25,75,0,0
Upper Warren Avenue (RG4),2,2,0,2,0,100,0,100,0,46,244,62,0,0,1,0,1,0,0,0,0,50,0,50,0,0
Vachel Road (RG1),7,5,0,7,3,71,0,100,43,81,513,57,0,0,4,1,0,1,1,0,0,57,14,0,14,14
WILLOWBRAE (RG4),2,2,2,2,0,100,100,100,0,22,126,80,0,0,2,0,0,0,0,0,0,100,0,0,0,0
Walnut Cottage (RG4),1,0,0,1,0,0,0,100,0,13,76,84,0,1,0,0,0,0,0,0,100,0,0,0,0,0
Wantage Road (RG30),7,7,0,7,2,100,0,100,29,58,363,63,0,0,2,3,2,0,0,0,0,29,43,29,0,0
Wardens House (RG1),1,0,0,1,0,0,0,100,0,48,292,49,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Warren Court (RG4),1,0,0,0,0,0,0,0,0,57,320,46,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Warren Creek (RG4),1,1,0,1,0,100,0,100,0,368,2124,1,0,0,0,0,0,0,1,0,0,0,0,0,0,100
Warrenside Cottage (RG4),1,0,0,0,0,0,0,0,0,74,381,36,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Warwick Road (RG2),43,43,25,43,43,100,58,100,100,40,231,79,0,20,23,0,0,0,0,0,47,53,0,0,0,0
Watlington Street (RG1),5,5,0,5,2,100,0,100,40,24,142,82,0,4,0,1,0,0,0,0,80,0,20,0,0,0
Wedgewood (RG4),1,0,1,1,0,0,100,100,0,32,167,69,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Wenlock (RG4),1,0,0,0,0,0,0,0,0,83,453,31,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Wensley Road (RG1),2,2,0,2,2,100,0,100,100,18,92,82,0,2,0,0,0,0,0,0,100,0,0,0,0,0
West Lodge (RG1),2,0,0,0,0,0,0,0,0,54,338,54,0,0,0,1,1,0,0,0,0,0,50,50,0,0
Whale Avenue (RG2),5,5,0,5,4,100,0,100,80,27,157,78,0,1,4,0,0,0,0,0,20,80,0,0,0,0
White Gables (RG2),2,0,0,2,0,0,0,100,0,63,355,44,0,0,0,0,2,0,0,0,0,0,0,100,0,0
Whitley Wood Road (RG2),7,5,1,7,0,71,14,100,0,62,366,69,0,0,3,4,0,0,0,0,0,43,57,0,0,0
Willow Corner (RG1),1,1,0,1,1,100,0,100,100,24,125,78,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Willow Street (RG1),2,2,0,2,2,100,0,100,100,50,294,68,0,0,1,1,0,0,0,0,0,50,50,0,0,0
Wind Whispers (RG4),3,0,0,1,0,0,0,33,0,41,218,61,0,0,1,1,1,0,0,0,0,33,33,33,0,0
Windrush (RG4),1,0,1,1,0,0,100,100,0,38,237,60,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Winterbourne House (RG1),1,1,0,1,0,100,0,100,0,47,268,52,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Wokingham Road (RG6),2,2,0,1,0,100,0,50,0,50,285,66,0,0,0,2,0,0,0,0,0,0,100,0,0,0
Wrenbury Court (RG1),1,1,0,0,0,100,0,0,0,43,225,64,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Wroxham (RG4),2,2,0,2,1,100,0,100,50,40,216,64,0,1,0,0,1,0,0,0,50,0,0,50,0,0
